,id,corp_no,factory_cd,machine,jig_no,voltage,e_current,gas,wire,prod_qty,hit_point,terms,error1,error2,error3,weldtime,tip_change,start_point,mes_trans_ok,mes_trans_time,bigo,starttime,workings_cd,item_no,input_lot,lot_no
1919804,386545271,100,100,TM-PE NO.1 R4,1,24.0,163.0,40.8,0.0,19980.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:27.607,,,,SLWB000 1
1919806,386545275,100,100,TM-PE NO.1 R4,1,25.0,164.0,36.9,0.0,19980.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:28.130,,,,SLWB000 1
1919807,386545277,100,100,TM-PE NO.1 R3,1,17.0,167.3,37.3,0.0,19848.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:28.640,,,,SLWB000 1
1919809,386545279,100,100,TM-PE NO.1 R4,1,24.0,161.0,34.1,0.0,19980.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:28.653,,,,SLWB000 1
1919810,386545281,100,100,TM-PE NO.1 R3,1,17.0,168.3,33.8,0.0,19848.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:29.163,,,,SLWB000 1
1919812,386545283,100,100,TM-PE NO.1 R4,1,25.0,164.6,31.7,0.0,19980.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:29.180,,,,SLWB000 1
1919813,386545285,100,100,TM-PE NO.1 R3,1,17.0,168.3,33.8,0.0,19848.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:29.710,,,,SLWB000 1
1919815,386545287,100,100,TM-PE NO.1 R4,1,25.0,162.6,29.7,0.0,19980.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:29.723,,,,SLWB000 1
1919816,386545291,100,100,TM-PE NO.1 R3,1,17.0,166.6,28.8,0.0,19848.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:30.240,,,,SLWB000 1
1919818,386545293,100,100,TM-PE NO.1 R4,1,26.0,162.0,28.1,0.0,19980.0,1,1,,,-,0.0,0,0,N,,,2023-12-23 07:58:30.253,,,,SLWB000 1
